reading_id,machine_id,temperature,vibration,rpm,voltage,current,healthScore,alert_flag,recorded_at
RDG-1023,MCH-102,88.64793808668323,8.513195573768945,1169,413.8943291255954,11.212707012816242,30,CRITICAL,2026-07-23T06:38:03.159Z
RDG-1024,MCH-102,89.53185445155795,7.769555281510285,1322,400.64748595518284,18.347659963653523,30,CRITICAL,2026-07-20T17:30:51.014Z
RDG-1025,MCH-101,160,2,1170,426.3570121282163,18.258717083505523,10,FAULTY,2026-07-22T00:04:50.920Z
RDG-1026,MCH-103,-25,2,1657,418.5370000670833,18.592242707177995,10,FAULTY,2026-07-23T07:49:49.543Z
RDG-1027,MCH-101,40,-5,1443,424.9429291450302,12.373942611721278,10,FAULTY,2026-07-21T06:14:16.290Z
RDG-1028,MCH-103,40,120,1596,402.4794871246626,19.639921554823935,10,FAULTY,2026-07-22T16:32:29.057Z
RDG-1029,MCH-101,,,1241,415.74316469145015,11.449491894609032,0,MISSING,2026-07-23T09:50:05.651Z
RDG-1030,MCH-102,NaN,NaN,1430,410.9993086609992,15.888079715275435,0,MISSING,2026-07-21T20:32:32.296Z
RDG-1031,MCH-104,,,1712,420.69792926827256,17.293687955507277,0,MISSING,2026-07-22T02:22:27.224Z
RDG-1032,MCH-102,50.123,2.123,1692,414.85634523744324,16.011897598309186,40,STUCK,2026-07-22T17:36:37.884Z
RDG-1033,MCH-102,50.123,2.123,1764,412.91936810002295,12.832566286035181,40,STUCK,2026-07-22T22:27:44.027Z
RDG-1034,MCH-102,50.123,2.123,1720,422.3881682559131,11.655901013979214,40,STUCK,2026-07-21T21:26:23.750Z
RDG-1035,MCH-101,38.55951942357278,6.501336612677968,1416,420.98318265597055,11.89805749220396,72.66361173448496,NORMAL,2026-07-19T20:15:02.809Z
RDG-1036,MCH-101,59.345285256103274,8.322191790079593,1278,407.14179085348894,14.06848556304044,63.33490256824417,NORMAL,2026-07-20T01:21:45.654Z
RDG-1037,MCH-101,57.70582094444481,6.32813461438519,1182,407.44433174346784,16.57925805890857,73.48505303070382,NORMAL,2026-07-20T08:20:36.155Z
RDG-1038,MCH-101,22.027245875402514,7.490890713097073,1029,410.0004499094086,16.20860309455781,65.59473227397145,NORMAL,2026-07-20T01:21:31.134Z
RDG-1039,MCH-103,48.3682581885035,0.9519022103233254,1437,423.47055160074825,15.570235015514584,73.21366417231293,NORMAL,2026-07-21T06:01:10.069Z
RDG-1040,MCH-103,45,15.6,1236,417.2275618948174,14.720271380231987,90,WARNING,2026-07-20T11:04:31.861Z
RDG-1041,MCH-103,45,15.6,1147,418.4300734778459,13.408590429642945,90,WARNING,2026-07-21T10:07:20.207Z
RDG-1042,MCH-102,45,15.6,1137,409.6645858654356,10.509607137382043,90,WARNING,2026-07-21T06:44:13.771Z
RDG-1043,MCH-104,45,15.6,1355,417.3214771681765,13.976243174673597,90,WARNING,2026-07-20T23:56:35.134Z
RDG-1044,MCH-103,45,15.6,1257,420.91376411436465,12.825107166165743,90,WARNING,2026-07-23T00:47:41.615Z
